Date,Exercise,Reps,Weight(kg),Duration(s),Distance(m),Incline,Resistance,isWarmup,Note,multiplier
2025-01-01 06:30:00 PM +0000,Barbell Back Squat,8,36.0,0.0,0.0,0.0,0.0,true,5x5 program,1.0
2025-01-01 06:30:00 PM +0000,Barbell Back Squat,5,60.0,0.0,0.0,0.0,0.0,false,Should I do more sets?,1.0
2025-01-01 06:30:00 PM +0000,Barbell Back Squat,5,62.5,0.0,0.0,0.0,0.0,false,Should I do more sets?,1.0
2025-01-01 06:30:00 PM +0000,Barbell Back Squat,5,65.0,0.0,0.0,0.0,0.0,false,Is this enough?,1.0
2025-01-01 06:30:00 PM +0000,Barbell Bench Press,8,27.0,0.0,0.0,0.0,0.0,true,,1.0
2025-01-01 06:30:00 PM +0000,Barbell Bench Press,4,45.0,0.0,0.0,0.0,0.0,false,Is this enough?,1.0
2025-01-01 06:30:00 PM +0000,Barbell Bench Press,4,47.5,0.0,0.0,0.0,0.0,false,,1.0
2025-01-01 06:30:00 PM +0000,Barbell Bench Press,4,50.0,0.0,0.0,0.0,0.0,false,Is this enough?,1.0
2025-01-01 06:30:00 PM +0000,Bent Over Barbell Row,8,24.0,0.0,0.0,0.0,0.0,true,,1.0
2025-01-01 06:30:00 PM +0000,Bent Over Barbell Row,4,40.0,0.0,0.0,0.0,0.0,false,Should I do more sets?,1.0
2025-01-01 06:30:00 PM +0000,Bent Over Barbell Row,4,42.5,0.0,0.0,0.0,0.0,false,,1.0
2025-01-01 06:30:00 PM +0000,Bent Over Barbell Row,5,45.0,0.0,0.0,0.0,0.0,false,,1.0
2025-01-05 06:30:00 PM +0000,Barbell Back Squat,8,36.0,0.0,0.0,0.0,0.0,true,5x5 program,1.0
2025-01-05 06:30:00 PM +0000,Barbell Back Squat,6,60.0,0.0,0.0,0.0,0.0,false,,1.0
2025-01-05 06:30:00 PM +0000,Barbell Back Squat,5,62.5,0.0,0.0,0.0,0.0,false,,1.0
